id,用户id,评论内容,评论时间,评分,点赞数,景点名称,城市,省份
168678064,184066552,赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞,2021-12-09,3,0,窦店清真寺,北京,北京
168871111,2780112,不是很值得一去的地方，北京可以试一下玩的地方太多了,2021-12-25,3,0,窦店清真寺,北京,北京
166991174,86665218,这里的肉很好吃，羊肉一点儿也不腥气，没有疝气,2021-07-01,3,0,窦店清真寺,北京,北京
167511956,11737193,这里是回民区，环境不错，周边的牛羊肉很地道,2021-08-23,3,0,窦店清真寺,北京,北京
167868934,11737193,外观气势磅礴，里面装修考究，环境不错,2021-10-04,3,0,窦店清真寺,北京,北京
166868137,5002436,有兴趣可以去逛逛，环境还算干净整洁。,2021-06-19,3,0,窦店清真寺,北京,北京
167124678,2780112,不是很值得一去的地方，没有啥意思,2021-07-12,3,0,窦店清真寺,北京,北京
168345501,2780112,不是很值得一去的地方，不喜欢。,2021-11-11,3,0,窦店清真寺,北京,北京
152504766,113469493,和朋友一起来的。四个人点了四个菜，一个榄菜四季豆。一个宫保鸡丁，铁板粉丝包菜，还要了一个干锅肥肠，宫保鸡丁味道特别棒，其它的只能说是一般，还有进步空间，但点了一份泡菜，味道很不错，还要了一个大包子，很鲜美，环境还可以，我们是卡着饭点去的，顾客还没有上好多，因为带着小孩，服务员贴心的帮挑了一个靠里面的卡座。,2017-12-13,4,0,窦店清真寺,北京,北京
168368251,233442707,这里值得去，景色秀丽，性价比很好,2021-11-13,5,0,窦店清真寺,北京,北京
168367769,41418293,这里值得去，景色美丽，性价比很好,2021-11-13,5,0,窦店清真寺,北京,北京
168286577,267327488,非常非常值得一去的地方太美了吧！,2021-11-07,5,0,窦店清真寺,北京,北京
167935114,661418,回民地区，很不错，值得观赏。拍照,2021-10-09,5,0,窦店清真寺,北京,北京
167830457,4260440,主要是去感受文化氛围，开阔眼界的,2021-10-01,5,0,窦店清真寺,北京,北京
167813275,7081136,这里风景真不错，这里风景真不错。,2021-09-29,5,0,窦店清真寺,北京,北京
167199235,41418293,这里值得去，景色迷人，性价比很好,2021-07-18,5,0,窦店清真寺,北京,北京
167185472,156578141,这里的环境真不错 很喜欢这个地方哦,2021-07-17,5,0,窦店清真寺,北京,北京
167104702,1154827,挺好的。。。。。。。。。。。。。,2021-07-10,5,0,窦店清真寺,北京,北京
166982300,241978781,终于找到了，挺好的，非常值得一去,2021-06-30,5,0,窦店清真寺,北京,北京
169071644,19651100,赞一个！！！！！！！！！！！！,2022-01-09,5,0,窦店清真寺,北京,北京
168732590,1130028,总体来说还不错，推荐大家来看看,2021-12-14,5,0,窦店清真寺,北京,北京
168528629,4998789,好，很好，非常好，特别的好啊！,2021-11-27,5,0,窦店清真寺,北京,北京
168318657,27297138,名胜古迹 很特别的一个地方 很幽静,2021-11-09,5,0,窦店清真寺,北京,北京
167738729,172535132,总体很漂亮，是个令人放松的地方,2021-09-21,5,0,窦店清真寺,北京,北京
167618196,14475843,历史著名景点 学习景点 非常好 漂亮,2021-09-08,5,0,窦店清真寺,北京,北京
167457449,4911632,清静心地，忘却烦恼的好地方呀。,2021-08-16,5,0,窦店清真寺,北京,北京
167250157,53440880,在大钟寺遇上北京最美的玉兰花雨,2021-07-23,5,0,窦店清真寺,北京,北京
167244633,691784,清真特色食品，好吃不贵～～～～,2021-07-22,5,0,窦店清真寺,北京,北京
166881192,4994754,不错，挺好的地方，值得去一趟。,2021-06-20,5,0,窦店清真寺,北京,北京
171864537,176065479,挺好的，值得一去哈哈😄😄！,2022-08-01,5,0,窦店清真寺,北京,北京
171500279,244188085,不错。。。。。。。。。。。。。,2022-07-12,5,0,窦店清真寺,北京,北京
171463755,255344236,窦店清真寺，随手一拍就是大片儿,2022-07-10,5,0,窦店清真寺,北京,北京
171297223,19336321,宗教建筑很有特点，不错的地方。,2022-06-30,5,0,窦店清真寺,北京,北京
171089339,216336883,这个地方好多少数民族的小吃店哦,2022-06-16,5,0,窦店清真寺,北京,北京
170745853,4544983,窦店清真寺位于北京市，值得一去,2022-05-22,5,0,窦店清真寺,北京,北京
170523809,97028142,非常有名的景点，清真食品好吃！,2022-05-05,5,0,窦店清真寺,北京,北京
169335091,5428744,座落在房山区窦店镇，很有点历史,2022-02-01,5,0,窦店清真寺,北京,北京
