id,用户id,评论内容,评论时间,评分,点赞数,ip属地,景区名
179207588,292724645,同事之前来过，说私家车可以开进去的，结果这次不让，只能坐内部小交通。如果看见有私家车进入，工作人员会给你解释那是居住在这里守陵人的车。地方很大，虽然没有百分百开放，但却值得去，唯一缺点，确实应该允许开车进入，至少平日时应该允许。,2023-10-01,5.0,0,湖南,清东陵
180873378,58013430,挺不错的，可以开车到门口,2024-02-24,4.0,0,河北,清东陵
179943290,11856048,。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2023-11-30,5.0,0,山东,清东陵
179375628,1729937,对历史文化感兴趣的伙伴还是值得来了解下的，跟清西陵一样花了200大洋在景区约了导游讲解，物有所值,2023-10-14,5.0,0,北京,清东陵
178486046,7658625,清东陵是我国现存最大的皇家陵园，交通便利,2023-08-19,5.0,0,海南,清东陵
179458526,40738956,单独找个导游费用有点略高，很多陵墓未开放，最想看的没看到，带孩子参观了清朝一步步如何走向灭亡！用眼见为实了解历史！,2023-10-21,4.0,0,江苏,清东陵
179883162,14477129,行！！！！！！！！！！！,2023-11-26,5.0,0,河北,清东陵
179540932,324377584,讲解清楚。特别有耐心,2023-10-26,5.0,0,北京,清东陵
179446830,57438153,非常值得一游，从牌坊进入龙脉一共十一华里，开始坐观光车只带到三个陵园，后来又租了部车，把剩下的都走完，走花观花也要从早上九点参观到下午三点。,2023-10-19,5.0,0,河北,清东陵
179237713,181913499,玩的很舒服，虽然是旺季但是没用那么多人，历史遗迹的气息很浓,2023-10-03,5.0,0,河北,清东陵
179716572,205656398,讲解员介绍的很棒,2023-11-08,5.0,0,山西,清东陵
179794632,108879304,很好很好很好,2023-11-15,5.0,0,河北,清东陵
178992679,251341472,可以领略清代帝王陵寝的宏伟壮观，感叹工匠的巧夺天工。,2023-09-16,5.0,0,河北,清东陵
177780011,61329476,清代的帝王陵墓确实选择的不一样，地理环境那真的好呀！,2023-07-28,5.0,0,河北,清东陵
178738960,20928016,清东陵位于河北省唐山市，清代帝王陵墓，占地面积大。,2023-08-31,5.0,0,北京,清东陵
178155201,273018664,"【景色】风景不错
【趣味】很好不错
【性价比】不高",2023-08-05,5.0,0,河北,清东陵
174884130,196837749,清东陵属全国重点文物保护单位，是中国最后一个王朝首要的帝王后妃陵墓群，也是中国现存规模最大、体系最完整的古帝陵建筑，共建有皇陵五座—顺治帝的孝陵、康熙帝的景陵、乾隆帝的裕陵、咸丰帝的定陵、同治帝的惠陵，以及东（慈安）、西（慈禧）太后等后陵四座、妃园五座、公主陵一座，计埋葬14个皇后和136个妃嫔。,2023-02-11,5.0,4,江苏,清东陵
177815965,259698627,体验盛世王朝的恢弘大气，保护的相当好,2023-07-30,5.0,0,河北,清东陵
178595243,174381108,大型皇家陵寝，风景秀丽，规模庞大。,2023-08-26,5.0,0,河北,清东陵
178493553,335919350,值得来看看，了解大清朝帝王陵寝。,2023-08-19,5.0,0,天津,清东陵
171929093,39511604,清东陵，康熙帝陵，因为是旅行社安排的最后一处，最近几天太热了，加之康熙地宫没有开放，很多人都不会过来，所以人比较少。沿途很晒，因为是偏早期帝陵，所以相对而言，普普，尤其是看过乾隆地宫后，感觉，嗯，更加的…,2022-08-04,4.0,0,河北,清东陵
175570745,207739201,地方真的太大了……参观八个小时，还差咸丰帝陵和乾隆帝陵神道没能看，顺治帝陵在维修中，其他的各个景点基本上都去了。最美的是乾隆地宫和总神道，门票总体还是偏贵,2023-04-20,5.0,0,江西,清东陵
175638342,61329476,历史的发展历史的长河奔腾而过，在这里领略大自然构造的神奇魅力，努力吧,2023-04-27,5.0,0,河北,清东陵
177498408,217731884,确实优美的风景名胜古迹，让人们不禁想到，帝王陵墓的风景就是不一样啊,2023-07-07,5.0,0,河北,清东陵
174818136,177768055,还不错，虽然有的陵墓没开，但还是可以了解了解清朝历史。乾隆爷的陵寝最壮观，冬天比较冷，里面人不错，可以开车也可以坐景区的车进去,2023-02-04,5.0,1,辽宁,清东陵
175428856,217731884,这里有绝对美妙的自然环境，大自然的秘密就在这片土地里，努力去奋斗,2023-04-07,5.0,0,河北,清东陵
172275245,745456,清东陵位于河北省唐山遵化市，距离北京有125公里，是小假期的好去处。清东陵有清帝王的15座陵寝，从1661开始兴建，到1908年，建造用了247年，最后的陵墓是慈禧皇太后。很值得游览！,2022-08-22,5.0,0,辽宁,清东陵
174827977,90900318,这里是清朝皇帝和皇后妃子的陵寝，樟市着一代王朝的兴盛与衰落,2023-02-05,5.0,0,河北,清东陵
175371245,216603196,位于河北遵化这里葬有清朝的五位皇帝,2023-04-01,5.0,1,四川,清东陵
175340203,27081795,可以了解历史，学习历史知识，性价比很高，工作人员态度好,2023-03-29,5.0,0,北京,清东陵
